se brosser les cheveux,to brush one's hair
se brosser les dents,to brush one's teeth
se coucher,to go to bed
se couper les cheveux,to cut one's hair
se couper les ongles,to cut one's nails
se limer les ongles,to file one's nails
se déshabiller,to get undressed
s'endormir,to fall asleep
s'habiller,to get dressed
se laver,to wash up
se laver la figure,to wash one's face
se laver la tête,to wash one's hair
se laver les mains,to wash one's hands
se lever,to get up
se maquiller,to put on makeup
se peigner,to comb one's hair
se raser,to shave
se reposer,to rest
se sécher les cheveux,to dry one's hair
s'approcher de,to approach
s'arrêter,to stop
s'asseoir,to sit down
se dépêcher,to hurry up
se diriger vers,to head towards
s'acharner,to strive unreasonably
s'éloigner de,to move away from
s'installer,"to move in, settle in"
se promener,to take a walk
se réunir,to get together
se trouver,to be located
s'amuser,to have a good time
s'animer,to feel more lively
se calmer,to calm down
s'embêter,to be/get bored
s'énerver,to get nervous/upset
s'ennuyer,to be/get bored
s'enthousiasmer,to get enthusiastic
se fâcher,to get angry
s'impatienter,to get impatient
s'inquiéter,to worry
se mettre en colère,to get angry
s'offenser,to get insulted/offended
se passioner (pour),to get excited (about)
se préoccuper,to worry
se sentir,to feel
se charger de qqch,"to take charge of something, be responsible for something"
se détendre,to relax
se fatiguer,to get tired
s'intéresser à faire qqch,to be interested in someone/something
se mettre à faire qqch,to begin to do something
se mettre en route,to get going
s'occuper de qqch,to take care of something
se soigner,to take care of oneself
se cacher,to hide
s'échapper de,"to run away from, escape from"
se mettre en panique,to fly into a panic
se moquer de qqn/de qqch,to make fun of someone/something
se mouiller,to get wet
se plaindre de qqn/de qqch,to complain about someone/something
se salir,to get dirty
se disputer,to argue
s'entendre bien/mal avec qqn,to get along/not get along with someone
se fiancer (avec qqn),to get engaged (to someone)
se marier (avec qqn),to break up (with someone)
s'adresser à qqn,"to address, speak to, be aimed at"
s'en aller,to go away
s'apercevoir de qqch,to notice something
s'attendre à qqch,to expect something
se débarrasser de qqn/de qqch,to get rid of someone/something
se demander,to wonder
se donner la peine de faire qqch,to take the trouble to do something
se fier à qqn/qqch,to trust someone/something
s'habituer à qqch,"to get used to something, get accustomed to something"
se méfier de qqn/qqch,
se passer de qqch,to do without something
se perdre,to get lost
se priver de qqch,to deprive oneself of something
se rappeler qqch,to recall/remember something
se servir de qqch,to use something
se sourcier de qqn/qqch,"to worry about something/something, to be concerned about someone/something"
se souvenir de qqn/qqch,to remember someone/something
se tromper de qqch,"to go to the wrong thing, select the wrong thing"